City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,barki saria,24.1667,85.8833,65.7,49,3,4.56,IN,1699468616
269,hovd,48.0056,91.6419,23.88,66,53,1.14,MN,1699468616
270,berdigestyakh,62.0989,126.6992,-15.63,100,100,2.08,RU,1699468616
271,polyarnyy,69.1989,33.4478,26.06,77,98,2.37,RU,1699468616
272,vorkuta,67.5,64.0,33.39,100,100,5.21,RU,1699468616
273,yuzhno-kurilsk,44.0306,145.8556,43.38,66,8,5.55,RU,1699468616
274,la passe,45.5549,-0.8967,57.43,91,100,20.07,FR,1699468617
275,hermanus,-34.4187,19.2345,59.2,71,0,8.57,ZA,1699468587
276,podporozh'ye,60.9112,34.1706,36.72,97,100,3.49,RU,1699468617
277,tekkali,18.6167,84.2333,72.88,79,47,4.47,IN,1699468617
278,nishinoomote,30.7333,131.0,71.38,66,100,13.8,JP,1699468617
279,vorgashor,67.5833,63.95,33.12,100,100,5.88,RU,1699468617
280,abay,49.6311,72.8539,32.38,38,99,7.31,KZ,1699468618
281,sisimiut,66.9395,-53.6735,26.26,81,100,5.79,GL,1699468618
282,chemolgan,43.1897,76.5292,38.86,38,100,2.86,KZ,1699468618
283,tralee,52.2704,-9.7026,45.66,78,100,15.48,IE,1699468618
284,udachny,66.4167,112.4,-9.11,92,4,5.7,RU,1699468618
285,vila franca do campo,37.7167,-25.4333,68.88,99,93,11.25,PT,1699468618
286,katsuren-haebaru,26.3369,127.8719,75.97,81,20,4.61,JP,1699468619
287,lhokseumawe,5.1801,97.1507,79.21,84,100,7.72,ID,1699468619
288,al qadarif,14.0349,35.3834,78.31,61,87,9.89,SD,1699468619
289,mejit,10.2753,170.8646,82.26,84,100,26.57,MH,1699468619
290,quellon,-43.1167,-73.6167,51.4,73,100,5.1,CL,1699468619
291,bahia de caraquez,-0.6,-80.4167,84.38,75,74,13.06,EC,1699468620
292,port alfred,-33.5906,26.891,62.19,86,5,3.04,ZA,1699468620
293,camana,-16.6228,-72.7111,70.38,70,39,8.75,PE,1699468620
294,lhasa,29.65,91.1,36.66,52,83,5.53,CN,1699468620
295,port said,31.2565,32.2841,75.18,73,0,8.05,EG,1699468620
296,taiping,4.85,100.7333,79.83,98,100,2.06,MY,1699468335
297,colonia,50.9333,6.95,51.6,83,97,14.97,DE,1699467952
298,bagnols-sur-ceze,44.1599,4.6178,50.65,87,0,3.44,FR,1699468621
299,solnechnyy,50.7214,136.6319,17.02,91,100,1.36,RU,1699468621
300,san mateo del mar,16.2,-95.0,86.34,61,6,24.52,MX,1699468621
301,ancud,-41.8697,-73.8203,53.78,66,36,9.08,CL,1699468621
302,whitecourt,54.1502,-115.6855,38.44,52,75,16.11,CA,1699468621
303,hohhot,40.8106,111.6522,17.89,49,0,11.18,CN,1699468622
304,toliara,-23.35,43.6667,77.68,83,100,3.6,MG,1699468622
305,tolanaro,-25.0319,46.9987,77.07,78,40,18.41,MG,1699468622
306,khawr fakkan,25.3313,56.342,80.65,66,0,3.31,AE,1699468622
307,la paz,-16.5,-68.15,67.98,37,75,14.97,BO,1699468480
308,mugumu,-1.85,34.7,61.68,95,100,1.01,TZ,1699468623
309,south hedland,-20.4089,118.5983,78.73,89,0,3.44,AU,1699468623
310,arkhangel'sk,64.5401,40.5433,33.13,99,100,8.39,RU,1699468623
